rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,expenditure,physical_progress,project_age_months,overrun_probability,risk_score,risk_level
1,Aruna Medium Irrigation Project,Department of water resources-MH - II,701391,Maharashtra,Department of water resources-MH - II,210.45,1734.71,98.1,195.0,98.96652,98.96652,CRITICAL
2,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,701408,Uttar Pradesh,Irrigation & Water Resources-UP,1060.67,4575.74,82.39,216.0,98.58697,98.58697,CRITICAL
3,Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project],Ministry of Petroleum & Natural Gas,617302,West Bengal,Ministry of Petroleum & Natural Gas,1740.0,2363.6,94.7,109.0,98.47451,98.47451,CRITICAL
4,Solan - Kaithlighat Section of NH-22 Now NH-5 from Km. 106.139 to Km.129.05,National Highways Authority of India [NHAI],619003,Himachal Pradesh,National Highways Authority of India [NHAI],881.74,652.04,90.11,89.0,98.431,98.431,CRITICAL
5,Delhi-Amritsar-Katra Expressway Phase-I Pkg-I from Jussur Kheri on NH-KMP Expressway to Junction with Rohtak-Panipat road NH-709 near Rukhi Paani village Km 0000 to Km 34000,National Highways Authority of India [NHAI],618482,Haryana,National Highways Authority of India [NHAI],1866.49,1081.52,99.91,52.0,98.36126,98.36126,CRITICAL
6,4L of Dwarka-Khambaliya-Devariya section from km 203.500 to km 176.500 and from km 171.800 to km 125.000 of NH-151A,National Highways Authority of India [NHAI],619137,Gujarat,National Highways Authority of India [NHAI],1024.69,882.1,100.0,74.0,98.333305,98.333305,CRITICAL
7,Nerchowk km 190.000 to Pandoh including Pandoh bypass km221.305,National Highways Authority of India [NHAI],618850,Himachal Pradesh,National Highways Authority of India [NHAI],1464.12,848.66,100.0,99.0,98.148865,98.148865,CRITICAL
8,Ahmedabad - Dholera Pkg III from km. 48.52 to km. 71.06 [Vejallka Village - Start of DSIR zone],National Highways Authority of India [NHAI],618503,Gujarat,National Highways Authority of India [NHAI],1034.04,955.74,100.0,57.0,98.14387,98.14387,CRITICAL
9,Delhi-Amritsar-Katra Expressway Phase-I Pkg-II from Junction with Rohtak-Panipat road NH-709 near Rukhi Paani village to Junction with Jind-Panipat road NH-352A near Gangana village Km 34000 to Km 60800,National Highways Authority of India [NHAI],618483,Haryana,National Highways Authority of India [NHAI],1533.87,971.07,99.89,51.0,97.92322,97.92322,CRITICAL
10,Dhaulasidh Hydro Electric Project [66 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,602582,Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,687.97,1107.31,77.51,59.0,97.857086,97.857086,CRITICAL
11,Four Laning of Una to Kodinar from km. 180.478 to km. 221.610 Package-V,National Highways Authority of India [NHAI],619145,Gujarat,National Highways Authority of India [NHAI],877.71,630.51,100.0,110.0,97.79695,97.79695,CRITICAL
12,Bakhtiyarpur Km 153.300 to Mokama Km 197.900,National Highways Authority of India [NHAI],619152,Bihar,National Highways Authority of India [NHAI],1182.94,843.24,99.95,106.0,97.71602,97.71602,CRITICAL
13,4L of Jind-Gohana road Package-1 from km. 0.00 to km. 40.601 of NH-352 A under NHO,National Highways Authority of India [NHAI],619092,Haryana,National Highways Authority of India [NHAI],994.22,623.68,99.97,69.0,97.65504,97.65504,CRITICAL
14,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II,Ministry of Petroleum & Natural Gas,701228,"Multi-States
(Karnataka,
Kerala, Tamil
Nadu)",Ministry of Petroleum & Natural Gas,2915.0,4790.3,96.6,202.0,97.50206,97.50206,CRITICAL
15,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km],Central Railway [CR] - II,705356,Maharashtra,Central Railway [CR] - II,2538.67,5180.78,98.0,282.0,97.33736,97.33736,CRITICAL
16,Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km],South Central Railway [SCR] - II,705613,"Multi-States
(Maharashtra,
Telangana)",South Central Railway [SCR] - II,2595.0,4141.26,94.7,114.0,97.3237,97.3237,CRITICAL
17,Establishment of new GMC Porbandar,"Medical Education, Ministry of Health and Family Welfare",707050,Gujarat,"Medical Education, Ministry of Health and Family Welfare",325.0,934.64,78.0,42.0,97.26213,97.26213,CRITICAL
18,Lower Pedhi Project,Department of water resources-MH - II,701396,Maharashtra,Department of water resources-MH - II,255.97,1516.11,65.0,216.0,97.07458,97.07458,CRITICAL
19,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-27 Ch.729.700 to Ch.756.052,National Highways Authority of India [NHAI],619197,Gujarat,National Highways Authority of India [NHAI],1185.69,991.08,97.0,50.0,97.06196,97.06196,CRITICAL
20,BRT Tiger Reserve Boundary Km.287.500 to Bangalore Section Km.458.420 of NH- 209 in Karnataka,National Highways Authority of India [NHAI],619150,Karnataka,National Highways Authority of India [NHAI],2082.69,730.43,99.7,104.0,96.9777,96.9777,CRITICAL
21,Rehabilitation and Up-gradation of existing road to 2L PS from End of Hamirpur Bypass near Chilbahal to Bhangbar section from Km. 138.295 to Km.175.270 of NH- 88 Pkg-IV,National Highways Authority of India [NHAI],618888,Himachal Pradesh,National Highways Authority of India [NHAI],1146.19,293.43,91.35,36.0,96.94707,96.94707,CRITICAL
22,Doubling of Daund Manmad Line [247.6 km],Central Railway,705504,Maharashtra,Central Railway,2081.27,3077.28,92.0,109.0,96.80835,96.80835,CRITICAL
23,Vadodara Mumbai Expressway Gandeva to Ena Phase IB - Pkg VII [Km 190.00 to Km 217.500],National Highways Authority of India [NHAI],618465,Gujarat,National Highways Authority of India [NHAI],1710.3,2158.87,97.05,53.0,96.56698,96.56698,CRITICAL
24,8L of Dwarka Expressway Pkg-II RuB near Dwarka Sector 21-DL/HR Border from 5.300 Km.to 9.500 Km. of NH-248BB,National Highways Authority of India [NHAI],619090,Delhi,National Highways Authority of India [NHAI],2067.67,1909.28,100.0,78.0,96.47684,96.47684,CRITICAL
25,Sardar Gouthu Latchanna Thotapalli Barrage Project,Water Resources-AP,400100,Andhra Pradesh,Water Resources-AP,353.05,872.65,95.88,243.0,96.43814,96.43814,CRITICAL
26,Tapovan-Vishnugad HEP [4x130 MW],National Thermal Power Corporation [NTPC],602185,Uttarakhand,National Thermal Power Corporation [NTPC],2978.0,7715.24,77.0,233.0,96.18132,96.18132,CRITICAL
27,Loha-Waranga Section of NH-361 from km 187.800 to km 244.369,National Highways Authority of India [NHAI],618653,Maharashtra,National Highways Authority of India [NHAI],1236.08,899.6,96.2,85.0,96.17951,96.17951,CRITICAL
28,Ahmedabad - Dholera Pkg IV from km. 71.06 to km. 109.019 [Start of DSIR zone - Adhelai Village],National Highways Authority of India [NHAI],618504,Gujarat,National Highways Authority of India [NHAI],1181.76,1204.33,97.92,52.0,96.1401,96.1401,CRITICAL
29,Subansiri Lower HE Project [2000 MW],National Hydroelectric Power Corporation Limited [NHPC],602096,"Multi-States
(Arunachal
Pradesh, Assam)",National Hydroelectric Power Corporation Limited [NHPC],6285.33,26150.32,97.64,255.0,95.94946,95.94946,CRITICAL
30,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-31 Ch.824920 to Ch.844382 [Junction near Pratap nagar Village - Junction near Dodka Village],National Highways Authority of India [NHAI],618462,Gujarat,National Highways Authority of India [NHAI],1644.85,963.66,100.0,59.0,95.85262,95.85262,CRITICAL
31,"Renigunta, Wadi & Gooty Bypass Railway Project",South Central Railway [SCR] - II,705610,"Multi-States
(Andhra Pradesh,
Karnataka)",South Central Railway [SCR] - II,302.0,635.72,89.03,120.0,95.83946,95.83946,CRITICAL
32,Nardave Medium Irrigation Project,Department of water resources-MH - II,701398,Maharashtra,Department of water resources-MH - II,211.46,626.06,72.59,204.0,95.83139,95.83139,CRITICAL
33,Establishment of new GMC Gangtok,"Medical Education, Ministry of Health and Family Welfare",707039,Sikkim,"Medical Education, Ministry of Health and Family Welfare",250.0,666.21,92.0,88.0,95.565414,95.565414,CRITICAL
34,Vadodara Mumbai Expressway Ena -Kim Phase IB - Pkg VI [Km 217.500 to Km 254.430],National Highways Authority of India [NHAI],618464,Gujarat,National Highways Authority of India [NHAI],2271.86,2574.42,98.9,52.0,95.53284,95.53284,CRITICAL
