rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,revised_cost,expenditure,physical_progress,cost_overrun_percent,schedule_change_months,expenditure_progress_gap,cost_risk,schedule_risk,progress_risk,financial_risk,rule_based_score,ml_score,final_risk_score,risk_level,risk_reasons
1,Madurai- Tuticorin New Line,Ministry of Railways,705489,Tamil Nadu,Ministry of Railways,601.43,2084.48,641.26,0.0,246.5873002676954,77.0,30.76354774332207,100,100,100,75,96.25,82.11339,90.59535598754883,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Low physical progress | Expenditure is significantly ahead of physical progress
2,Lower Pedhi Project,Department of water resources-MH - II,701396,Maharashtra,Department of water resources-MH - II,255.97,1480.7,1516.11,65.0,478.4662265109192,78.0,37.39143648274465,100,100,40,75,81.25,97.07458,87.57983016967773,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Expenditure is significantly ahead of physical progress | Expenditure exceeds revised project cost
3,Trivandrum- Kanyakumari,Southern Railway [SR] - I,705635,"Multi-States
(Kerala, Tamil
Nadu)",Southern Railway [SR] - I,1432.0,3785.45,2909.77,56.0,164.34706703910612,39.0,20.8672152584237,100,100,40,75,81.25,95.28546,86.86418533325195,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Expenditure is significantly ahead of physical progress
4,Gosikhurd Project,Department of water resources-MH - II,701386,Maharashtra,Department of water resources-MH - II,7196.47,12770.1,14339.36,72.65,77.44949954630535,102.0,39.63854903250562,100,100,40,75,81.25,94.30315,86.47126007080078,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Expenditure is significantly ahead of physical progress | Expenditure exceeds revised project cost
5,Integrated Anandpur Barrage Project,Water Resources-OR,603945,Odisha,Water Resources-OR,567.03,2990.05,2776.23,62.85,427.3177786007796,78.0,29.99894901423053,100,100,40,75,81.25,93.34996,86.08998489379883,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Expenditure is significantly ahead of physical progress
6,Miyagam-Karjan-Dabhoi-Samlaya [GC],Western Railway [WR] - II,705458,Gujarat,Western Railway [WR] - II,483.88,1039.13,716.47,45.0,114.7495246755394,69.0,23.94902466486387,100,100,75,75,90.0,77.72172,85.08868789672852,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Low physical progress | Expenditure is significantly ahead of physical progress
7,Solapur-tuljapur-Osmanabad,Central Railway,705735,Maharashtra,Central Railway,904.92,3295.74,1216.56,12.0,264.20236042965126,12.0,24.913106009576,100,50,100,75,81.25,85.660904,83.01436233520508,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Low physical progress | Expenditure is significantly ahead of physical progress
8,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,701408,Uttar Pradesh,Irrigation & Water Resources-UP,1060.67,4417.21,4575.74,82.39,316.45469373132073,72.0,21.198916986061334,100,100,0,75,71.25,98.58697,82.18478775024414,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Expenditure is significantly ahead of physical progress | Expenditure exceeds revised project cost
9,Kanupur Irrigation Project,Irrigation and CAD-TG,701404,Odisha,Irrigation and CAD-TG,989.43,2301.28,2804.16,79.5,132.5864386566003,78.0,42.35218660919139,100,100,0,75,71.25,94.83183,80.68273544311523,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months | Expenditure is significantly ahead of physical progress | Expenditure exceeds revised project cost
10,Nardave Medium Irrigation Project,Department of water resources-MH - II,701398,Maharashtra,Department of water resources-MH - II,211.46,781.85,626.06,72.59,269.7389577225007,78.0,7.484183027434909,100,100,40,0,70.0,95.83139,80.33255767822266,CRITICAL,Cost overrun above 10% | Schedule delay above 6 months
