project_name,project_code,legacy_ocms_code,original_cost,expenditure,physical_progress,planned_duration_months,project_age_months,approval_to_start_months,State,agency,cost_overrun_flag
"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",612786,N04000106,265.91,129.07,65.0,24.0,27.0,10.0,Andhra Pradesh,Airport Authority of India [AAI],0
Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,701107,N04000091,611.8,523.14,87.2,24.0,67.0,3.0,Andhra Pradesh,Airport Authority of India [AAI],0
Construction of New Domestic Terminal Building at Rajahmundry Airport.,701121,N04000103,347.15,170.79,90.0,24.0,32.0,8.0,Andhra Pradesh,Airport Authority of India [AAI],0
Guwahati Airport New Integrated Terminal Building Construction Project,706724,N04000083,1712.0,2627.39,98.0,84.0,97.0,15.0,Assam,Adani Airport Holdings Limited,1
Development of New Civil Enclave at Bihta,612183,-,1413.0,7.64,1.28,23.0,12.0,8.0,Bihar,Airport Authority of India [AAI],0
Development of New Civil Enclave and associated works at Darbhanga Airport,612194,N04000112,911.66,374.49,65.0,24.0,21.0,0.0,Bihar,Airport Authority of India [AAI],0
"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",701101,N04000082,1216.9,1200.67,98.22,91.0,90.0,0.0,Bihar,Airport Authority of India [AAI],0
Goa Airport Terminal Building Extension Project,701105,N04000095,255.69,156.7,100.0,24.0,76.0,25.0,Goa,Airport Authority of India [AAI],0
Development of Keshod Airport.,619054,-,363.1,87.88,33.13,18.0,9.0,18.0,Gujarat,Airport Authority of India [AAI],0
"Development of Dholera International Greenfield Airport , Gujarat",701126,N04000099,1305.0,896.82,82.0,47.0,45.0,1.0,Gujarat,Airport Authority of India [AAI],1
"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",611047,N04000107,861.37,319.5,51.35,30.0,28.0,2.0,"Jammu and
Kashmir",Airport Authority of India [AAI],0
Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,612787,N04000108,320.47,148.68,77.0,24.0,27.0,7.0,Karnataka,Airport Authority of India [AAI],0
Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,612788,N04000105,322.45,204.5,87.0,24.0,26.0,8.0,Karnataka,Airport Authority of India [AAI],0
"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",612789,N04000111,484.57,204.6,59.0,19.0,26.0,8.0,Kerala,Airport Authority of India [AAI],0
"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",400010,N04000078,480.0,501.81,78.9,36.0,91.0,2.0,Ladakh,Airport Authority of India [AAI],1
C/o NITB Imphal Airport,706718,N04000100,499.0,201.99,50.69,24.0,45.0,8.0,Manipur,Airport Authority of India [AAI],0
"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",611570,-,500.48,381.2,78.0,35.0,42.0,22.0,"Multi-States
(Karnataka,
Maharashtra,
Telangana, Uttar
Pradesh)",Airport Authority of India [AAI],0
"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",618977,-,1507.0,40.4,12.8,24.0,6.0,2.0,Rajasthan,Airport Authority of India [AAI],0
Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,701127,N04000101,480.0,339.96,97.35,34.0,35.0,11.0,Rajasthan,Airport Authority of India [AAI],0
Construction of New Integrated Passenger Terminal Building at Udaipur Airport,701128,N04000104,887.0,523.61,68.71,28.0,29.0,5.0,Rajasthan,Airport Authority of India [AAI],0
"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",612793,N04000110,323.26,80.84,34.25,30.0,28.0,1.0,Sikkim,Airport Authority of India [AAI],0
"Modernization of Chennai Airport, Phase II, Part 2",611602,-,1207.0,289.5,38.0,25.0,34.0,61.0,Tamil Nadu,Airport Authority of India [AAI],0
"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",701113,N04000114,2869.65,572.04,27.0,36.0,21.0,0.0,Uttar Pradesh,Airport Authority of India [AAI],0
Development of New Integrated Civil Enclave at Agra Airport,701122,N04000113,579.0,197.61,40.03,24.0,21.0,1.0,Uttar Pradesh,Airport Authority of India [AAI],0
Development of New Civil Enclave at Bagdogra Airport,611495,N04000115,1549.0,441.41,34.6,30.0,19.0,1.0,West Bengal,Airport Authority of India [AAI],0
"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",612791,N04000109,328.3,139.77,64.5,22.0,28.0,9.0,West Bengal,Airport Authority of India [AAI],0
TIKAK EXTENSION OCP,MIS MoCoal Integration Logins,615820,159.77,111.47,88.18,108.0,45.0,0.0,Assam,MIS MoCoal Integration Logins,0
TIRAP OCP,MIS MoCoal Integration Logins,615821,289.46,105.61,3.26,96.0,41.0,0.0,Assam,MIS MoCoal Integration Logins,0
PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],400144,2310.12,113.83,11.81,99.0,64.0,0.0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
BAROUD OC EXPANSION [3.0-10.0M,South Eastern Coalfields Limited [SECL],400149,2309.8,993.79,55.95,103.0,68.0,0.0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
DIPKA EXPANSION OCP [40 MTY],South Eastern Coalfields Limited [SECL],400354,5241.4,2910.11,38.0,99.0,64.0,0.0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
GEVRA OC [70 MTY],South Eastern Coalfields Limited [SECL],400424,11816.4,6905.46,78.48,84.0,121.0,0.0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
AMERA OC RCE [1.0 MTY],South Eastern Coalfields Limited [SECL],613798,335.97,90.88,42.47,133.0,134.0,0.0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
AMGAON OC RCE [1.0 MTY],South Eastern Coalfields Limited [SECL],613799,316.11,191.5,78.86,128.0,129.0,0.0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
JAGANNATHPUR OC RCE PROJECT,South Eastern Coalfields Limited [SECL],613800,459.49,276.8,96.15,104.0,117.0,0.0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
MAHAMAYA OCP [1.50 MTY],South Eastern Coalfields Limited [SECL],613801,410.26,187.63,54.6,94.0,95.0,0.0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
KATKONA RO UG MINE,South Eastern Coalfields Limited [SECL],615191,329.21,62.03,2.01,74.0,39.0,0.0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
PELMA OC MDO,South Eastern Coalfields Limited [SECL],616234,1725.04,16.71,40.34,125.0,42.0,0.0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
KUSMUNDA OC EXPANSION PROJECT,SECL - CIL,617287,4516.88,817.06,22.0,64.0,17.0,0.0,Chhattisgarh,SECL - CIL,0
