Sl.No,project_name,agency,State,approval_date,start_date,original_doc,revised_doc,original_cost,revised_cost,expenditure,physical_progress,project_code,legacy_ocms_code,pmgid,cost_overrun_amount,cost_overrun_percent,expenditure_percent,remaining_cost,expenditure_progress_gap,planned_duration_months,approval_to_start_months,project_age_months,schedule_change_months,time_overrun_flag,cost_overrun_flag,project_size_category,low_progress_flag,spending_ahead_of_progress,expenditure_exceeds_revised_cost,extreme_cost_overrun,cost_risk,schedule_risk,progress_risk,financial_risk,risk_score,risk_level,intervention_priority
754,Madurai- Tuticorin New Line,Ministry of Railways,Tamil Nadu,2011-04-01,2016-09-01,2021-07-01,2027-12-01,601.43,2084.48,641.26,0.0,Ministry of Railways,705489,-,1483.0500000000002,246.5873002676954,30.76354774332207,1443.22,30.76354774332207,58.0,65.0,115.0,77.0,1,1,Medium,1,1,0,1,100,100,100,75,96.25,CRITICAL,1
547,Araria Supaul New BG Line,East Central Railway [ECR] - I,Bihar,2018-06-01,2009-03-01,2024-03-01,2027-01-01,1605.0,2514.0,1711.89,46.7,East Central Railway [ECR] - I,705368,N22000177,909.0,56.63551401869159,68.09427207637232,802.1099999999999,21.394272076372317,180.0,-111.0,205.0,34.0,1,1,Large,0,1,0,0,100,100,75,75,90.0,CRITICAL,2
588,Miyagam-Karjan-Dabhoi-Samlaya [GC],Western Railway [WR] - II,Gujarat,2017-01-01,2017-01-01,2021-03-01,2026-12-01,483.88,1039.13,716.47,45.0,Western Railway [WR] - II,705458,N22000142,555.2500000000001,114.7495246755394,68.94902466486387,322.6600000000001,23.94902466486387,50.0,0.0,111.0,69.0,1,1,Small,0,1,0,1,100,100,75,75,90.0,CRITICAL,2
641,Solapur-tuljapur-Osmanabad,Central Railway,Maharashtra,2018-08-01,2023-12-01,2027-03-01,2028-03-01,904.92,3295.74,1216.56,12.0,Central Railway,705735,N22000513,2390.8199999999997,264.20236042965126,36.913106009576,2079.18,24.913106009576,39.0,64.0,28.0,12.0,1,1,Medium,1,1,0,1,100,50,100,75,81.25,CRITICAL,4
1964,Lower Pedhi Project,Department of water resources-MH - II,Maharashtra,2008-04-01,2008-04-01,2019-12-01,2026-06-01,255.97,1480.7,1516.11,65.0,Department of water resources-MH - II,701396,-,1224.73,478.4662265109192,102.39143648274464,-35.409999999999854,37.39143648274465,140.0,0.0,216.0,78.0,1,1,Small,0,1,1,1,100,100,40,75,81.25,CRITICAL,4
1969,Integrated Anandpur Barrage Project,Water Resources-OR,Odisha,1997-04-01,1998-01-01,2019-12-01,2026-06-01,567.03,2990.05,2776.23,62.85,Water Resources-OR,603945,-,2423.0200000000004,427.3177786007796,92.84894901423051,213.82000000000016,29.99894901423053,263.0,9.0,339.0,78.0,1,1,Medium,0,1,0,1,100,100,40,75,81.25,CRITICAL,4
1962,Gosikhurd Project,Department of water resources-MH - II,Maharashtra,2008-04-01,2008-04-01,2019-12-01,2028-06-01,7196.47,12770.1,14339.36,72.65,Department of water resources-MH - II,701386,-,5573.63,77.44949954630535,112.28854903250564,-1569.2600000000002,39.63854903250562,140.0,0.0,216.0,102.0,1,1,Mega,0,1,1,0,100,100,40,75,81.25,CRITICAL,4
696,Trivandrum- Kanyakumari,Southern Railway [SR] - I,"Multi-States
(Kerala, Tamil
Nadu)",2017-08-01,2016-03-01,2025-03-01,2028-06-01,1432.0,3785.45,2909.77,56.0,Southern Railway [SR] - I,705635,N22000399,2353.45,164.34706703910612,76.8672152584237,875.6799999999998,20.8672152584237,108.0,-17.0,121.0,39.0,1,1,Large,0,1,0,1,100,100,40,75,81.25,CRITICAL,4
476,ALL India Institute of Medical Sciences-AIIMS Madurai,PMSSY AND Institute of NATIONAL Importance,Tamil Nadu,2018-12-01,2018-12-01,2022-08-01,2026-10-01,1264.0,2021.51,485.02,48.0,PMSSY AND Institute of NATIONAL Importance,701168,-,757.51,59.929588607594944,23.992955760792675,1536.49,-24.007044239207325,44.0,0.0,88.0,50.0,1,1,Large,0,0,0,0,100,100,75,0,78.75,CRITICAL,9
1946,Kelo Irrigation Project,Water Resources-CT,Chhattisgarh,2008-04-01,2008-04-01,2019-12-01,2026-06-01,459.97,727.04,618.85,72.0,Water Resources-CT,400111,-,267.06999999999994,58.06248233580449,85.11911311619718,108.18999999999994,13.119113116197184,140.0,0.0,216.0,78.0,1,1,Small,0,0,0,0,100,100,40,40,76.0,CRITICAL,10
